,County,Year,Population,Deaths
0,barbour,2006,15922.0,201.0
1,barbour,2007,16036.0,164.0
2,barbour,2008,16241.0,179.0
3,barbour,2009,16479.0,188.0
4,barbour,2010,16589.0,174.0
5,barbour,2011,16520.0,178.0
6,barbour,2012,16493.0,208.0
8,berkeley,2006,96318.0,743.0
9,berkeley,2007,99132.0,735.0
10,berkeley,2008,101629.0,807.0
11,berkeley,2009,102830.0,837.0
12,berkeley,2010,104169.0,800.0
13,berkeley,2011,105750.0,880.0
14,berkeley,2012,107098.0,896.0
16,boone,2006,25101.0,332.0
17,boone,2007,25115.0,348.0
18,boone,2008,24794.0,367.0
19,boone,2009,24766.0,285.0
20,boone,2010,24629.0,333.0
21,boone,2011,24444.0,333.0
22,boone,2012,24478.0,281.0
24,braxton,2006,14585.0,184.0
25,braxton,2007,14585.0,183.0
26,braxton,2008,14587.0,182.0
27,braxton,2009,14512.0,163.0
28,braxton,2010,14523.0,152.0
29,braxton,2011,14485.0,165.0
30,braxton,2012,14468.0,196.0
32,brooke,2006,24399.0,337.0
33,brooke,2007,24235.0,348.0
34,brooke,2008,24168.0,308.0
35,brooke,2009,24153.0,302.0
36,brooke,2010,24069.0,361.0
37,brooke,2011,23844.0,354.0
38,brooke,2012,23853.0,336.0
40,cabell,2006,94943.0,1129.0
41,cabell,2007,95059.0,1255.0
42,cabell,2008,95209.0,1255.0
43,cabell,2009,96040.0,1090.0
44,cabell,2010,96319.0,1145.0
45,cabell,2011,96653.0,1168.0
46,cabell,2012,96974.0,1079.0
48,calhoun,2006,7531.0,78.0
49,calhoun,2007,7588.0,87.0
50,calhoun,2008,7621.0,91.0
51,calhoun,2009,7560.0,88.0
52,calhoun,2010,7627.0,90.0
53,calhoun,2011,7652.0,95.0
54,calhoun,2012,7607.0,105.0
56,clay,2006,9695.0,136.0
57,clay,2007,9696.0,121.0
58,clay,2008,9603.0,121.0
59,clay,2009,9505.0,100.0
60,clay,2010,9386.0,100.0
61,clay,2011,9357.0,102.0
62,clay,2012,9297.0,112.0
64,doddridge,2006,7848.0,81.0
65,doddridge,2007,7970.0,62.0
66,doddridge,2008,8034.0,80.0
67,doddridge,2009,8124.0,80.0
68,doddridge,2010,8202.0,75.0
69,doddridge,2011,8171.0,81.0
70,doddridge,2012,8178.0,83.0
72,fayette,2006,46200.0,607.0
73,fayette,2007,46243.0,646.0
74,fayette,2008,46171.0,626.0
75,fayette,2009,46034.0,670.0
76,fayette,2010,46039.0,647.0
77,fayette,2011,45699.0,608.0
78,fayette,2012,45869.0,640.0
80,gilmer,2006,8083.0,106.0
81,gilmer,2007,8248.0,87.0
82,gilmer,2008,8408.0,81.0
83,gilmer,2009,8529.0,82.0
84,gilmer,2010,8693.0,58.0
85,gilmer,2011,8705.0,73.0
86,gilmer,2012,8732.0,82.0
88,grant,2006,11834.0,124.0
89,grant,2007,11969.0,111.0
90,grant,2008,12022.0,116.0
91,grant,2009,11963.0,108.0
92,grant,2010,11937.0,119.0
93,grant,2011,11891.0,141.0
94,grant,2012,11816.0,127.0
96,greenbrier,2006,35196.0,442.0
97,greenbrier,2007,35354.0,428.0
98,greenbrier,2008,35457.0,498.0
99,greenbrier,2009,35351.0,483.0
100,greenbrier,2010,35480.0,458.0
101,greenbrier,2011,35800.0,529.0
102,greenbrier,2012,35820.0,467.0
104,hampshire,2006,23016.0,194.0
105,hampshire,2007,23492.0,205.0
106,hampshire,2008,23664.0,208.0
107,hampshire,2009,23820.0,220.0
108,hampshire,2010,23964.0,246.0
109,hampshire,2011,23812.0,253.0
110,hampshire,2012,23709.0,251.0
112,hancock,2006,31266.0,392.0
113,hancock,2007,30887.0,402.0
114,hancock,2008,30802.0,419.0
115,hancock,2009,30748.0,430.0
116,hancock,2010,30676.0,381.0
117,hancock,2011,30571.0,388.0
118,hancock,2012,30305.0,440.0
120,hardy,2006,13611.0,132.0
121,hardy,2007,13807.0,140.0
122,hardy,2008,13793.0,128.0
123,hardy,2009,13885.0,150.0
124,hardy,2010,14025.0,143.0
125,hardy,2011,13912.0,144.0
126,hardy,2012,13866.0,131.0
128,harrison,2006,68141.0,828.0
129,harrison,2007,67940.0,855.0
130,harrison,2008,68441.0,823.0
131,harrison,2009,68696.0,874.0
132,harrison,2010,69099.0,828.0
133,harrison,2011,69436.0,930.0
134,harrison,2012,69141.0,834.0
136,jackson,2006,28877.0,306.0
137,jackson,2007,29089.0,318.0
138,jackson,2008,29101.0,346.0
139,jackson,2009,29155.0,331.0
140,jackson,2010,29211.0,326.0
141,jackson,2011,29241.0,315.0
142,jackson,2012,29234.0,352.0
144,jefferson,2006,50003.0,378.0
145,jefferson,2007,51264.0,434.0
146,jefferson,2008,52184.0,402.0
147,jefferson,2009,53054.0,423.0
148,jefferson,2010,53498.0,440.0
149,jefferson,2011,54225.0,417.0
150,jefferson,2012,54504.0,449.0
152,kanawha,2006,192954.0,2403.0
153,kanawha,2007,192354.0,2443.0
154,kanawha,2008,192414.0,2578.0
155,kanawha,2009,193150.0,2457.0
156,kanawha,2010,193063.0,2473.0
157,kanawha,2011,192315.0,2391.0
158,kanawha,2012,192179.0,2418.0
160,lewis,2006,16445.0,235.0
161,lewis,2007,16360.0,240.0
162,lewis,2008,16422.0,219.0
163,lewis,2009,16422.0,223.0
164,lewis,2010,16372.0,198.0
165,lewis,2011,16416.0,202.0
166,lewis,2012,16371.0,238.0
168,lincoln,2006,22064.0,254.0
169,lincoln,2007,21953.0,263.0
170,lincoln,2008,21881.0,268.0
171,lincoln,2009,21794.0,264.0
172,lincoln,2010,21720.0,277.0
173,lincoln,2011,21550.0,286.0
174,lincoln,2012,21627.0,245.0
176,logan,2006,36440.0,507.0
177,logan,2007,36443.0,484.0
178,logan,2008,36548.0,498.0
179,logan,2009,36645.0,508.0
180,logan,2010,36743.0,483.0
181,logan,2011,36457.0,549.0
182,logan,2012,36168.0,515.0
184,mcdowell,2006,23199.0,380.0
185,mcdowell,2007,22746.0,374.0
186,mcdowell,2008,22494.0,374.0
187,mcdowell,2009,22276.0,359.0
188,mcdowell,2010,22113.0,364.0
189,mcdowell,2011,21729.0,381.0
190,mcdowell,2012,21326.0,399.0
192,marion,2006,56284.0,670.0
193,marion,2007,56445.0,695.0
194,marion,2008,56141.0,730.0
195,marion,2009,56426.0,687.0
196,marion,2010,56418.0,641.0
197,marion,2011,56586.0,643.0
198,marion,2012,56678.0,657.0
200,marshall,2006,33814.0,388.0
201,marshall,2007,33583.0,373.0
202,marshall,2008,33248.0,406.0
203,marshall,2009,33116.0,389.0
204,marshall,2010,33107.0,387.0
205,marshall,2011,32800.0,408.0
206,marshall,2012,32674.0,437.0
208,mason,2006,26648.0,321.0
209,mason,2007,26738.0,295.0
210,mason,2008,27097.0,311.0
211,mason,2009,27309.0,314.0
212,mason,2010,27324.0,359.0
213,mason,2011,27298.0,325.0
214,mason,2012,27179.0,326.0
216,mercer,2006,61297.0,824.0
217,mercer,2007,61615.0,900.0
218,mercer,2008,61848.0,848.0
219,mercer,2009,62177.0,894.0
220,mercer,2010,62264.0,863.0
221,mercer,2011,62465.0,946.0
222,mercer,2012,62523.0,912.0
224,mineral,2006,27324.0,321.0
225,mineral,2007,27532.0,277.0
226,mineral,2008,27824.0,287.0
227,mineral,2009,28080.0,331.0
228,mineral,2010,28212.0,327.0
229,mineral,2011,28192.0,319.0
230,mineral,2012,27956.0,310.0
232,mingo,2006,27054.0,392.0
233,mingo,2007,27145.0,353.0
234,mingo,2008,26850.0,378.0
235,mingo,2009,26943.0,369.0
236,mingo,2010,26839.0,360.0
237,mingo,2011,26563.0,369.0
238,mingo,2012,26103.0,349.0
240,monongalia,2006,89656.0,599.0
241,monongalia,2007,90764.0,630.0
242,monongalia,2008,92200.0,634.0
243,monongalia,2009,94165.0,614.0
244,monongalia,2010,96189.0,617.0
245,monongalia,2011,98528.0,650.0
246,monongalia,2012,100332.0,651.0
248,monroe,2006,13382.0,145.0
249,monroe,2007,13452.0,165.0
250,monroe,2008,13607.0,165.0
251,monroe,2009,13543.0,153.0
252,monroe,2010,13502.0,175.0
253,monroe,2011,13534.0,173.0
254,monroe,2012,13463.0,166.0
256,morgan,2006,17038.0,183.0
257,morgan,2007,17410.0,181.0
258,morgan,2008,17520.0,196.0
259,morgan,2009,17580.0,194.0
260,morgan,2010,17541.0,212.0
261,morgan,2011,17535.0,194.0
262,morgan,2012,17471.0,190.0
264,nicholas,2006,26205.0,324.0
265,nicholas,2007,26130.0,320.0
266,nicholas,2008,26138.0,326.0
267,nicholas,2009,26253.0,328.0
268,nicholas,2010,26233.0,325.0
269,nicholas,2011,26268.0,341.0
270,nicholas,2012,26229.0,356.0
272,ohio,2006,44925.0,549.0
273,ohio,2007,44714.0,611.0
274,ohio,2008,44469.0,571.0
275,ohio,2009,44355.0,609.0
276,ohio,2010,44443.0,557.0
277,ohio,2011,44246.0,580.0
278,ohio,2012,44075.0,630.0
280,pendleton,2006,7922.0,95.0
281,pendleton,2007,7792.0,97.0
282,pendleton,2008,7761.0,106.0
283,pendleton,2009,7701.0,68.0
284,pendleton,2010,7695.0,94.0
285,pendleton,2011,7673.0,104.0
286,pendleton,2012,7566.0,103.0
288,pleasants,2006,7670.0,68.0
289,pleasants,2007,7698.0,79.0
290,pleasants,2008,7702.0,83.0
291,pleasants,2009,7672.0,82.0
292,pleasants,2010,7605.0,90.0
293,pleasants,2011,7611.0,104.0
294,pleasants,2012,7595.0,103.0
296,pocahontas,2006,8938.0,123.0
297,pocahontas,2007,8851.0,117.0
298,pocahontas,2008,8807.0,107.0
299,pocahontas,2009,8746.0,110.0
300,pocahontas,2010,8719.0,115.0
301,pocahontas,2011,8786.0,91.0
302,pocahontas,2012,8692.0,107.0
304,preston,2006,32238.0,303.0
305,preston,2007,32743.0,329.0
306,preston,2008,33067.0,340.0
307,preston,2009,33333.0,311.0
308,preston,2010,33520.0,319.0
309,preston,2011,33723.0,336.0
310,preston,2012,33832.0,362.0
312,putnam,2006,54207.0,453.0
313,putnam,2007,54669.0,472.0
314,putnam,2008,55051.0,535.0
315,putnam,2009,55178.0,504.0
316,putnam,2010,55486.0,504.0
317,putnam,2011,56008.0,510.0
318,putnam,2012,56435.0,582.0
320,raleigh,2006,78178.0,902.0
321,raleigh,2007,78323.0,962.0
322,raleigh,2008,78379.0,919.0
323,raleigh,2009,78782.0,990.0
324,raleigh,2010,78859.0,1012.0
325,raleigh,2011,79127.0,986.0
326,raleigh,2012,79021.0,1071.0
328,randolph,2006,29049.0,337.0
329,randolph,2007,29113.0,307.0
330,randolph,2008,29236.0,338.0
331,randolph,2009,29381.0,352.0
332,randolph,2010,29405.0,310.0
333,randolph,2011,29465.0,362.0
334,randolph,2012,29384.0,355.0
336,ritchie,2006,10588.0,134.0
337,ritchie,2007,10558.0,119.0
338,ritchie,2008,10516.0,128.0
339,ritchie,2009,10478.0,139.0
340,ritchie,2010,10449.0,119.0
341,ritchie,2011,10295.0,122.0
342,ritchie,2012,10236.0,126.0
344,roane,2006,15442.0,178.0
345,roane,2007,15215.0,201.0
346,roane,2008,15048.0,189.0
347,roane,2009,14966.0,177.0
348,roane,2010,14926.0,169.0
349,roane,2011,14858.0,176.0
350,roane,2012,14684.0,191.0
352,summers,2006,13879.0,146.0
353,summers,2007,13842.0,152.0
354,summers,2008,13712.0,198.0
355,summers,2009,13882.0,159.0
356,summers,2010,13927.0,206.0
357,summers,2011,13867.0,207.0
358,summers,2012,13737.0,171.0
360,taylor,2006,16498.0,164.0
361,taylor,2007,16640.0,171.0
362,taylor,2008,16792.0,195.0
363,taylor,2009,16838.0,180.0
364,taylor,2010,16895.0,199.0
365,taylor,2011,16916.0,203.0
366,taylor,2012,16991.0,179.0
368,tucker,2006,7111.0,78.0
369,tucker,2007,7117.0,87.0
370,tucker,2008,7160.0,83.0
371,tucker,2009,7172.0,107.0
372,tucker,2010,7141.0,94.0
373,tucker,2011,7021.0,91.0
374,tucker,2012,6995.0,88.0
376,tyler,2006,9484.0,106.0
377,tyler,2007,9423.0,112.0
378,tyler,2008,9363.0,109.0
379,tyler,2009,9249.0,103.0
380,tyler,2010,9208.0,127.0
381,tyler,2011,9121.0,152.0
382,tyler,2012,9037.0,124.0
384,upshur,2006,23754.0,260.0
385,upshur,2007,23851.0,273.0
386,upshur,2008,23929.0,238.0
387,upshur,2009,24124.0,258.0
388,upshur,2010,24254.0,258.0
389,upshur,2011,24322.0,252.0
390,upshur,2012,24477.0,261.0
392,wayne,2006,42717.0,468.0
393,wayne,2007,42727.0,436.0
394,wayne,2008,42767.0,445.0
395,wayne,2009,42637.0,483.0
396,wayne,2010,42481.0,482.0
397,wayne,2011,42126.0,456.0
398,wayne,2012,41649.0,459.0
400,webster,2006,9391.0,128.0
401,webster,2007,9260.0,121.0
402,webster,2008,9260.0,110.0
403,webster,2009,9167.0,117.0
404,webster,2010,9154.0,98.0
405,webster,2011,9143.0,131.0
406,webster,2012,9043.0,128.0
408,wetzel,2006,16917.0,219.0
409,wetzel,2007,16764.0,206.0
410,wetzel,2008,16645.0,206.0
411,wetzel,2009,16588.0,230.0
412,wetzel,2010,16583.0,215.0
413,wetzel,2011,16351.0,227.0
414,wetzel,2012,16422.0,227.0
416,wirt,2006,5791.0,59.0
417,wirt,2007,5806.0,49.0
418,wirt,2008,5745.0,68.0
419,wirt,2009,5703.0,54.0
420,wirt,2010,5717.0,61.0
421,wirt,2011,5762.0,62.0
422,wirt,2012,5847.0,52.0
424,wood,2006,86552.0,936.0
425,wood,2007,86489.0,950.0
426,wood,2008,86783.0,1019.0
427,wood,2009,86841.0,1021.0
428,wood,2010,86956.0,989.0
429,wood,2011,87120.0,1039.0
430,wood,2012,86701.0,1007.0
432,wyoming,2006,24288.0,290.0
433,wyoming,2007,24078.0,313.0
434,wyoming,2008,23957.0,315.0
435,wyoming,2009,23899.0,344.0
436,wyoming,2010,23796.0,320.0
437,wyoming,2011,23419.0,345.0
438,wyoming,2012,23273.0,351.0
